loop		red		green		blue		sensor
0		91		91		91		5380.26666667
1		99		102		102		5939.2
2		107		113		113		6504.10666667
3		115		124		124		7034.02666667
4		123		135		135		7570.77333333
5		131		146		146		8098.13333333
6		139		157		157		8617.81333333
7		147		168		168		9130.66666667
8		155		179		179		9550.50666667
9		163		190		190		10035.2
10		171		201		201		10618.88
11		179		212		212		11108.6933333
12		187		223		223		11584.8533333
13		195		234		234		12040.5333333
14		203		245		245		12489.3866667
15		211		256		256		12953.6
16		219		267		267		13393.92
17		227		278		278		13861.5466667
18		235		289		289		14295.04
19		243		300		300		14699.52
20		251		311		311		15117.6533333
21		259		322		322		15564.8
22		267		333		333		15993.1733333
23		275		344		344		16397.6533333
24		283		355		355		16781.6533333
25		291		366		366		17213.44
26		299		377		377		17607.68
27		307		388		388		18085.5466667
28		315		399		399		18223.7866667
29		323		410		410		18595.84
30		331		421		421		19029.3333333
31		339		432		432		19401.3866667
32		347		443		443		19804.16
33		355		454		454		20186.4533333
34		363		465		465		20541.44
35		371		476		476		20875.9466667
36		379		487		487		21463.04
37		387		498		498		21794.1333333
38		395		509		509		22118.4
39		403		520		520		22490.4533333
40		411		531		531		22818.1333333
41		419		542		542		23156.0533333
42		427		553		553		23504.2133333
43		435		564		564		23852.3733333
44		443		575		575		24166.4
45		451		586		586		24507.7333333
46		459		597		597		24896.8533333
47		467		608		608		25156.2666667
48		475		619		619		25514.6666667
49		483		630		630		25753.6
50		491		641		641		26132.48
51		499		652		652		26361.1733333
52		507		663		663		26664.96
53		515		674		674		27016.5333333
54		523		685		685		27405.6533333
55		531		696		696		27593.3866667
56		539		707		707		27859.6266667
57		547		718		718		28293.12
58		555		729		729		28467.2
59		563		740		740		28788.0533333
60		571		751		751		29122.56
61		579		762		762		29399.04
62		587		773		773		29576.5333333
63		595		784		784		29559.4666667
64		603		795		795		30081.7066667
65		611		806		806		30433.28
66		619		817		817		30542.5066667
67		627		828		828		30935.04
68		635		839		839		31184.2133333
69		643		850		850		31416.32
70		651		861		861		31651.84
71		659		872		872		31836.16
72		667		883		883		32109.2266667
73		675		894		894		32450.56
74		683		905		905		32529.0666667
75		691		916		916		32870.4
76		699		927		927		33085.44
77		707		938		938		33204.9066667
78		715		949		949		33597.44
79		723		960		960		33713.4933333
80		731		971		971		34058.24
