loop		red		green		blue		sensor
0		91		91		91		56.18
1		134		150		150		61.2333333333
2		177		209		209		65.3133333333
3		220		268		268		69.2266666667
4		263		327		327		72.7066666667
5		306		386		386		75.9866666667
6		349		445		445		79.36
7		392		504		504		82.16
8		435		563		563		85.2666666667
9		478		622		622		88.04
10		521		681		681		91.0266666667
11		564		740		740		93.1466666667
12		607		799		799		95.6666666667
13		650		858		858		98.0
14		693		917		917		100.253333333
15		736		976		976		102.093333333
16		736		983		983		102.413333333
